trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
170,False,"{'a': 0.7, 'e': 0.07669649888473704}",20,9,15.4290336719715,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.7, 'e': 0.07647191129018725}",30,11,28.465501344418538,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.7, 'e': 0.07624928516630233}",25,0,22.29451173398316,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
173,False,"{'a': 0.7, 'e': 0.07602859212697055}",25,3,5.40107964784149,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
174,False,"{'a': 0.7, 'e': 0.07580980435789034}",25,9,15.753175855057954,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.7, 'e': 0.07559289460184544}",25,17,15.21840949025663,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.7, 'e': 0.07537783614444091}",20,10,18.505061633436064,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.7, 'e': 0.07516460280028289}",20,0,-12.500854322449499,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
178,False,"{'a': 0.7, 'e': 0.07495316889958614}",20,3,26.049012512169764,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.7, 'e': 0.07474350927519359}",25,0,27.50079645506355,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
180,False,"{'a': 0.7, 'e': 0.07453559924999299}",30,10,13.272624759796516,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
181,False,"{'a': 0.7, 'e': 0.07432941462471664}",25,9,27.01827486554459,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.7, 'e': 0.07412493166611012}",30,19,22.793024818060243,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.7, 'e': 0.07392212709545729}",25,16,17.22121395944685,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
